flowers,k,p,seed,condense,empirical_error,true_error
"['versicolor', 'virginica']",3,1,79,False,0.04,0.1
"['versicolor', 'virginica']",3,1,80,False,0.08,0.08
"['versicolor', 'virginica']",3,1,81,False,0.1,0.08
"['versicolor', 'virginica']",3,1,82,False,0.04,0.08
"['versicolor', 'virginica']",3,1,83,False,0.06,0.12
"['versicolor', 'virginica']",3,1,84,False,0.04,0.12
"['versicolor', 'virginica']",3,1,85,False,0.04,0.12
"['versicolor', 'virginica']",3,1,86,False,0.04,0.12
"['versicolor', 'virginica']",3,1,87,False,0.0,0.12
"['versicolor', 'virginica']",3,1,88,False,0.0,0.12
"['versicolor', 'virginica']",3,1,89,False,0.1,0.08
"['versicolor', 'virginica']",3,1,90,False,0.1,0.08
"['versicolor', 'virginica']",3,1,91,False,0.04,0.1
"['versicolor', 'virginica']",3,1,92,False,0.06,0.1
"['versicolor', 'virginica']",3,1,93,False,0.04,0.08
"['versicolor', 'virginica']",3,1,94,False,0.1,0.12
"['versicolor', 'virginica']",3,1,95,False,0.04,0.1
"['versicolor', 'virginica']",3,1,96,False,0.08,0.04
"['versicolor', 'virginica']",3,1,97,False,0.04,0.08
"['versicolor', 'virginica']",3,1,98,False,0.04,0.1
"['versicolor', 'virginica']",3,1,99,False,0.08,0.1
"['versicolor', 'virginica']",3,1,100,False,0.06,0.12
"['versicolor', 'virginica']",3,2,1,False,0.02,0.12
"['versicolor', 'virginica']",3,2,2,False,0.06,0.08
"['versicolor', 'virginica']",3,2,3,False,0.06,0.12
"['versicolor', 'virginica']",3,2,4,False,0.04,0.12
"['versicolor', 'virginica']",3,2,5,False,0.04,0.1
"['versicolor', 'virginica']",3,2,6,False,0.06,0.08
"['versicolor', 'virginica']",3,2,7,False,0.02,0.14
"['versicolor', 'virginica']",3,2,8,False,0.04,0.1
"['versicolor', 'virginica']",3,2,9,False,0.08,0.06
"['versicolor', 'virginica']",3,2,10,False,0.08,0.04
"['versicolor', 'virginica']",3,2,11,False,0.06,0.06
"['versicolor', 'virginica']",3,2,12,False,0.1,0.08
"['versicolor', 'virginica']",3,2,13,False,0.08,0.08
"['versicolor', 'virginica']",3,2,14,False,0.08,0.06
"['versicolor', 'virginica']",3,2,15,False,0.06,0.04
"['versicolor', 'virginica']",3,2,16,False,0.04,0.08
"['versicolor', 'virginica']",3,2,17,False,0.08,0.1
"['versicolor', 'virginica']",3,2,18,False,0.06,0.1
"['versicolor', 'virginica']",3,2,19,False,0.1,0.06
"['versicolor', 'virginica']",3,2,20,False,0.02,0.14
"['versicolor', 'virginica']",3,2,21,False,0.08,0.08
"['versicolor', 'virginica']",3,2,22,False,0.04,0.1
"['versicolor', 'virginica']",3,2,23,False,0.06,0.12
"['versicolor', 'virginica']",3,2,24,False,0.04,0.08
"['versicolor', 'virginica']",3,2,25,False,0.06,0.08
"['versicolor', 'virginica']",3,2,26,False,0.06,0.1
"['versicolor', 'virginica']",3,2,27,False,0.06,0.06
"['versicolor', 'virginica']",3,2,28,False,0.08,0.06
"['versicolor', 'virginica']",3,2,29,False,0.02,0.12
"['versicolor', 'virginica']",3,2,30,False,0.06,0.06
"['versicolor', 'virginica']",3,2,31,False,0.02,0.12
"['versicolor', 'virginica']",3,2,32,False,0.02,0.18
"['versicolor', 'virginica']",3,2,33,False,0.04,0.14
"['versicolor', 'virginica']",3,2,34,False,0.08,0.06
"['versicolor', 'virginica']",3,2,35,False,0.08,0.08
"['versicolor', 'virginica']",3,2,36,False,0.02,0.16
"['versicolor', 'virginica']",3,2,37,False,0.04,0.06
"['versicolor', 'virginica']",3,2,38,False,0.06,0.08
"['versicolor', 'virginica']",3,2,39,False,0.04,0.08
"['versicolor', 'virginica']",3,2,40,False,0.06,0.12
"['versicolor', 'virginica']",3,2,41,False,0.04,0.08
"['versicolor', 'virginica']",3,2,42,False,0.02,0.1
"['versicolor', 'virginica']",3,2,43,False,0.02,0.14
"['versicolor', 'virginica']",3,2,44,False,0.04,0.08
"['versicolor', 'virginica']",3,2,45,False,0.02,0.1
"['versicolor', 'virginica']",3,2,46,False,0.06,0.08
"['versicolor', 'virginica']",3,2,47,False,0.08,0.1
"['versicolor', 'virginica']",3,2,48,False,0.04,0.1
"['versicolor', 'virginica']",3,2,49,False,0.06,0.16
"['versicolor', 'virginica']",3,2,50,False,0.06,0.06
"['versicolor', 'virginica']",3,2,51,False,0.04,0.08
"['versicolor', 'virginica']",3,2,52,False,0.06,0.08
"['versicolor', 'virginica']",3,2,53,False,0.06,0.1
"['versicolor', 'virginica']",3,2,54,False,0.04,0.12
"['versicolor', 'virginica']",3,2,55,False,0.06,0.08
"['versicolor', 'virginica']",3,2,56,False,0.04,0.1
"['versicolor', 'virginica']",3,2,57,False,0.06,0.14
"['versicolor', 'virginica']",3,2,58,False,0.04,0.1
"['versicolor', 'virginica']",3,2,59,False,0.06,0.08
"['versicolor', 'virginica']",3,2,60,False,0.04,0.1
